DATAFLOW,LAST UPDATE,freq,unit,tra_meas,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2002-01,1499169,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2002-02,1559125,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2002-03,1721969,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2002-04,1744335,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2002-05,1651650,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2002-06,1719081,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2002-07,1642663,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2002-08,1577418,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2002-09,1822280,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2002-10,1850677,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2002-11,1886912,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2002-12,1726865,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2003-01,1774975,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2003-02,1784979,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2003-03,1901123,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2003-04,1753139,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2003-05,1823000,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2003-06,1705747,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2003-07,1724654,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2003-08,1494747,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2003-09,1823278,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2003-10,1857914,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2003-11,1905019,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2003-12,1690185,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2004-01,1632977,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2004-02,1709934,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2004-03,2021252,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2004-04,1741180,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2004-05,1775937,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2004-06,1749820,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2004-07,1726739,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2004-08,1594485,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2004-09,1909978,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2004-10,1907069,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2004-11,1964733,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2004-12,1710492,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2005-01,1632879,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2005-02,1681407,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2005-03,1871750,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2005-04,1967875,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2005-05,1757672,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2005-06,1911892,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2005-07,1724943,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2005-08,1658253,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2005-09,1990532,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2005-10,1905021,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2005-11,2060152,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2005-12,1863812,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2006-01,1760465,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2006-02,1791168,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2006-03,2092639,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2006-04,1859009,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2006-05,2008063,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2006-06,1863969,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2006-07,1815283,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2006-08,1689365,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2006-09,2036365,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2006-10,1978613,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2006-11,2061958,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2006-12,1810535,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2007-01,1760862,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2007-02,1806549,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2007-03,2166126,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2007-04,1924013,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2007-05,2065101,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2007-06,1997456,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2007-07,1990469,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2007-08,1912375,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2007-09,2183708,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2007-10,2283405,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2007-11,2299394,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2007-12,1929313,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2008-01,1897379,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2008-02,2039343,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2008-03,2015530,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2008-04,2316430,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2008-05,2117792,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2008-06,2183690,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2008-07,2011737,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2008-08,1838721,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2008-09,2212562,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2008-10,2223475,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2008-11,2117458,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2008-12,1872473,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2009-01,1728500,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2009-02,1794456,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2009-03,2102411,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2009-04,1973055,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2009-05,2038660,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2009-06,1984766,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2009-07,1964351,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2009-08,1796444,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2009-09,2144636,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2009-10,2188617,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2009-11,2119270,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2009-12,1891342,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2010-01,1698681,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2010-02,1710209,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2010-03,2232321,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2010-04,1577630,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2010-05,2106497,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2010-06,2166828,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2010-07,2090605,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2010-08,1926720,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2010-09,2344503,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2010-10,2336410,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2010-11,2213272,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2010-12,1760789,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2011-01,1771680,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2011-02,1834815,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2011-03,2124015,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2011-04,1970496,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2011-05,2274560,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2011-06,2012617,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2011-07,2038911,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2011-08,1848340,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2011-09,2281522,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2011-10,2173502,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2011-11,2177836,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2011-12,1910089,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2012-01,1771181,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2012-02,1802015,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2012-03,2128472,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2012-04,1916951,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2012-05,2125130,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2012-06,2025176,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2012-07,1915009,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2012-08,1812095,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2012-09,2099509,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2012-10,2166685,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2012-11,2060033,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2012-12,1679105,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2013-01,1608303,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2013-02,1630192,
